Split,Value,GP,Wins,Losses,Ties/Overtime Losses,Goals Against,Shots Against,Saves,Save Percentage,Goals Against Average,Shutouts,PIM,TOI,Even Strength Goals Against,Power Play Goals Against,Short Handed Goals Against,Win Percentage,Raw Score,Efficiency
,Total,1266,691.0,397,154,2781,31709,28928,0.912,2.24,125,122,74438:20,1576,503,73,0.5458135860979463,143.54135860979463,71.77067930489731
Place,Home,642,380.0,183,69,1371,15336,13965,0.911,2.17,66,52,37941:36,777,246,39,0.5919003115264797,148.12003115264798,74.06001557632399
,Road,624,311.0,214,85,1410,16373,14963,0.914,2.32,59,70,36496:44,799,257,34,0.4983974358974359,138.9197435897436,69.4598717948718
All-Star*,Pre,788,422.0,259,87,1762,19683,17921,0.91,2.29,79,76,46091:15,1006,324,49,0.5355329949238579,142.2632994923858,71.1316497461929
,Post,478,269.0,138,67,1019,12026,11007,0.915,2.16,46,46,28347:05,570,179,24,0.5627615062761506,145.61615062761507,72.80807531380754
Result,Win,699,691.0,0,0,1078,17586,16508,0.939,1.55,122,54,41755:08,576,221,28,0.9885550786838341,191.2055078683834,95.6027539341917
,Loss,395,0.0,380,0,1278,9344,8066,0.863,3.54,0,40,21689:05,756,206,38,0.0,82.75999999999999,41.379999999999995
,Tie,172,0.0,17,154,425,4779,4354,0.911,2.32,3,28,10994:07,244,76,7,0.0,88.78000000000002,44.39000000000001
Month,October,151,77.0,60,11,365,3819,3454,0.904,2.49,14,24,8805:29,207,87,7,0.5099337748344371,138.9033774834437,69.45168874172185
,November,176,97.0,58,17,384,4345,3961,0.912,2.22,12,18,10398:19,231,58,12,0.5511363636363636,144.09363636363636,72.04681818181818
,December,205,112.0,63,24,444,5044,4600,0.912,2.24,28,14,11881:18,258,78,17,0.5463414634146342,143.59414634146341,71.79707317073171
,January,204,111.0,59,31,445,5321,4876,0.916,2.2,22,16,12156:58,261,79,10,0.5441176470588235,143.81176470588235,71.90588235294118
,February,172,95.0,47,30,371,4348,3977,0.915,2.17,16,22,10268:12,206,76,6,0.5523255813953488,144.5625581395349,72.28127906976745
,March,249,136.0,77,33,550,6249,5699,0.912,2.25,22,20,14677:24,312,88,16,0.5461847389558233,143.56847389558234,71.78423694779117
,April,108,63.0,33,8,220,2578,2358,0.915,2.12,11,8,6237:29,101,37,5,0.5833333333333334,147.71333333333334,73.85666666666667
,May,1,,,,2,5,3,0.6,9.1,0,0,13:11,,,,,,
Conference,Eastern,980,546.0,294,122,2142,24453,22311,0.912,2.23,98,100,57599:59,1217,404,58,0.5571428571428572,144.68428571428572,72.34214285714286
,Western,282,143.0,102,32,629,7171,6542,0.912,2.27,27,22,16659:50,359,99,15,0.5070921985815603,139.63921985815603,69.81960992907801
,Prince of Wales,4,2.0,1,0,10,85,75,0.882,3.36,0,0,178:31,,,,0.5,134.83999999999997,67.41999999999999
Division,Patrick,2,0.0,1,0,6,34,28,0.824,6.13,0,0,58:41,,,,0.0,76.27,38.135
,Adams,2,2.0,0,0,4,51,47,0.922,2.0,0,0,119:50,,,,1.0,190.2,95.1
,Northeast,337,172.0,108,48,740,8536,7796,0.913,2.25,29,30,19757:16,396,109,17,0.5103857566765578,140.0885756676558,70.0442878338279
,Pacific,112,61.0,39,11,233,2802,2569,0.917,2.1,10,14,6643:10,117,40,9,0.5446428571428571,144.06428571428572,72.03214285714286
