Rank,Games Career,Games Team,Date,Team,Unnamed: 5_level_1,Opp,Result,DEC,MIN,Goals Against,Saves,Shots,Save Percentage,PIM,Games Played,A,PTS,Wins,GP,Goals Against Average,Win Percentage,Raw Score,Efficiency,Year
1,1,5,1992-04-27,NJD,@,NYR,L 5-8,0-1-0,32:04,3,12,15,0.8,0,0,0,0,0,1,3.0,0.0,77.0,38.5,1992
2,2,1,1994-04-17,NJD,,BUF,L 0-2,0-1-0,59:43,1,21,22,0.955,0,0,0,0,0,1,1.0,0.0,94.5,47.25,1994
3,3,2,1994-04-19,NJD,,BUF,W 2-1,1-0-0,59:55,1,23,24,0.958,0,0,0,0,1,1,1.0,1.0,194.8,97.4,1994
4,4,3,1994-04-21,NJD,@,BUF,W 2-1,1-0-0,60:00,1,29,30,0.967,0,0,0,0,1,1,1.0,1.0,195.7,97.85,1994
5,5,4,1994-04-23,NJD,@,BUF,L 3-5,0-1-0,59:36,5,25,30,0.833,0,0,0,0,0,1,5.0,0.0,78.3,39.15,1994
6,6,5,1994-04-25,NJD,,BUF,W 5-3,1-0-0,60:00,3,17,20,0.85,0,0,0,0,1,1,3.0,1.0,182.0,91.0,1994
7,7,6,1994-04-27,NJD,@,BUF,L 0-1 (OT),0-1-0,125:43,1,49,50,0.98,0,0,0,0,0,1,1.0,0.0,97.0,48.5,1994
8,8,7,1994-04-29,NJD,,BUF,W 2-1,1-0-0,60:00,1,17,18,0.944,0,0,0,0,1,1,1.0,1.0,193.39999999999998,96.69999999999999,1994
9,9,8,1994-05-01,NJD,,BOS,L 1-2,0-1-0,59:05,2,27,29,0.931,0,0,0,0,0,1,2.0,0.0,91.10000000000001,45.550000000000004,1994
10,10,9,1994-05-03,NJD,,BOS,L 5-6 (OT),0-1-0,68:41,6,21,27,0.778,0,0,0,0,0,1,6.0,0.0,71.8,35.9,1994
11,11,12,1994-05-09,NJD,,BOS,W 2-0,1-0-0,60:00,0,22,22,1.0,0,0,0,0,1,1,0.0,1.0,200.0,100.0,1994
12,12,14,1994-05-15,NJD,@,NYR,W 4-3 (OT),1-0-0,95:08,3,35,38,0.921,0,0,0,0,1,1,3.0,1.0,189.10000000000002,94.55000000000001,1994
13,13,15,1994-05-17,NJD,@,NYR,L 0-4,0-1-0,54:29,4,36,40,0.9,0,0,0,0,0,1,4.0,0.0,86.0,43.0,1994
14,14,16,1994-05-19,NJD,,NYR,L 2-3 (OT),0-1-0,86:13,3,47,50,0.94,0,0,0,0,0,1,3.0,0.0,91.0,45.5,1994
15,15,17,1994-05-21,NJD,,NYR,W 3-1,1-0-0,60:00,1,21,22,0.955,0,0,0,0,1,1,1.0,1.0,194.5,97.25,1994
16,16,18,1994-05-23,NJD,@,NYR,W 4-1,1-0-0,60:00,1,25,26,0.962,0,0,1,1,1,1,1.0,1.0,195.2,97.6,1994
17,17,19,1994-05-25,NJD,,NYR,L 2-4,0-1-0,58:44,3,32,35,0.914,0,0,0,0,0,1,3.0,0.0,88.4,44.2,1994
18,18,20,1994-05-27,NJD,@,NYR,L 1-2 (OT),0-1-0,83:23,2,46,48,0.958,0,0,0,0,0,1,2.0,0.0,93.8,46.9,1994
19,19,1,1995-05-07,NJD,@,BOS,W 5-0,1-0-0,60:00,0,23,23,1.0,0,0,1,1,1,1,0.0,1.0,200.0,100.0,1995
20,20,2,1995-05-08,NJD,@,BOS,W 3-0,1-0-0,60:00,0,23,23,1.0,0,0,0,0,1,1,0.0,1.0,200.0,100.0,1995
21,21,3,1995-05-10,NJD,,BOS,L 2-3,0-1-0,58:57,3,14,17,0.824,0,0,0,0,0,1,3.0,0.0,79.39999999999999,39.699999999999996,1995
22,22,4,1995-05-12,NJD,,BOS,W 1-0 (OT),1-0-0,68:51,0,38,38,1.0,0,0,,0,1,1,0.0,1.0,200.0,100.0,1995
23,23,5,1995-05-14,NJD,@,BOS,W 3-2,1-0-0,60:00,2,28,30,0.933,0,0,0,0,1,1,2.0,1.0,191.3,95.65,1995
24,24,6,1995-05-20,NJD,@,PIT,L 2-3,0-1-0,59:00,3,20,23,0.87,0,0,0,0,0,1,3.0,0.0,84.0,42.0,1995
25,25,7,1995-05-22,NJD,@,PIT,W 4-2,1-0-0,60:00,2,26,28,0.929,0,0,0,0,1,1,2.0,1.0,190.9,95.45,1995
26,26,8,1995-05-24,NJD,,PIT,W 5-1,1-0-0,60:00,1,21,22,0.955,0,0,0,0,1,1,1.0,1.0,194.5,97.25,1995
27,27,9,1995-05-26,NJD,,PIT,W 2-1 (OT),1-0-0,78:36,1,34,35,0.971,0,0,0,0,1,1,1.0,1.0,196.1,98.05,1995
